title;year;genres;realisators;actors;synopsis;language;country;rate;duration;found
inconnu;1998;;Gérard Mordillat,Evelyne Pieiller,Raoul Ruiz,Valeria Sarmiento,;Ornella Muti,Charles Berling,Johan Leysen,Christian Vadim,;N/A;French;France;5.7;100;true
Antigone 34;0;;Brice Homs,Alexis Nolent,;Claire Borotra,Bruno Todeschini,Anne Le Nen,Aubert Fenoy,;N/A;French;France;6.7;52;true
le bon samaritain;2011;;Emmanuelle Sardou (scenario And Dialogue),Vincent Solignac (scenario And Dialogue),Alexandra Deman (original Story),;Laurent Gamelon,Bernadette Lafont,Michel Galabru,Patrick Bosso,;N/A;French;France;5.6;81;true
la baie d'alger;2012;;Louis Gardel (novel),Merzak Allouache (scenario),Louis Gardel (collaboration),;Catherine Jacob,Solal Forte,Anthony Sonigo,Margaux Châtelier,;N/A;French;France;6.4;0;true
L'amoureuse;1914;;N/a,;Gaston Michel,Georges Melchior,;N/A;N/A;France;0.0;0;true
Dimanche matin;2010;;N/a,;Esteban Carvajal-alegria,Guillaume Gouix,Annabelle Hettmann,Grégoire Leprince-ringuet,;N/A;N/A;N/A;0.0;20;true
Le reste du monde;2012;;Tom Frank (translation),Damien Odoul,;Aurélie Mestres,Marie-eve Nadeau,Judith Morisseau,Emmanuelle Béart,;N/A;French;France;5.4;82;true
Le dingue;1973;;Daniel Daërt,;Michel Creton,Christian Baltauss,Catherine Daert,Georges Guéret,;N/A;French;France;0.0;90;true
J'ai peur d'oublier;2011;;Fabienne Piel (novel),Catherine Ramberg,;Daniel Russo,Patrick Catalifo,Geneviève Fontanel,Juliet Lemonnier,;N/A;French;France;7.5;0;true
la redoute;0;null;null;null;null;null;null;0.0;0;false
Dis lui;2009;;Stéphanie Kalfon,;Fanchon Dut,Stéphan Guerin-tille,Judith Henry,;N/A;French;France;0.0;12;true
Calendrettes;0;null;null;null;null;null;null;0.0;0;false
M6 un diner presque parfait;0;null;null;null;null;null;null;0.0;0;false
Les vacances de Ducobu;0;null;null;null;null;null;null;0.0;0;false
Meurtre a la morgue;0;null;null;null;null;null;null;0.0;0;false
Un diner presque parfait;2008;;N/a,;N/a,;N/A;N/A;N/A;0.0;52;true
Slow city;0;null;null;null;null;null;null;0.0;0;false
La porte noire;0;null;null;null;null;null;null;0.0;0;false
Les momies de coptes;0;null;null;null;null;null;null;0.0;0;false
Shooting Montpel/Wood;0;null;null;null;null;null;null;0.0;0;false
C'était 1930, les femmes, les;0;null;null;null;null;null;null;0.0;0;false
Premier amour;1963;;Françoise Dumayet (adaptation),Ivan Turgenev,;Fabrice Rouleau,Marie Dubois,José Luis De Vilallonga,Hélène Duc,;N/A;French;France;0.0;0;true
Sud de France;2013;;N/a,;Sandra Sur,Thibault Tauran,;N/A;French;France;0.0;1;true
Films sur la ville de Montpellier;0;null;null;null;null;null;null;0.0;0;false
Tout n'est pas cirrhose mon;0;null;null;null;null;null;null;0.0;0;false
Projet APOKA;0;null;null;null;null;null;null;0.0;0;false
HOMO'STORY;0;null;null;null;null;null;null;0.0;0;false
vestiaire;2011;;Martijn Kramp,Chantal Jongman,;Alwin Pulinckx,Sarah Vink,;N/A;N/A;N/A;0.0;0;true
CFE-CGC métallurgie;0;null;null;null;null;null;null;0.0;0;false
la ville autrement;0;null;null;null;null;null;null;0.0;0;false
De Profondis;0;null;null;null;null;null;null;0.0;0;false
