titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
CYPRIEN;DAVID CHARHON;25/07/2008;25/07/2008;EXTERIEUR;RUE DU FAUBOURG SAINT DENIS;75010;RUE DU FAUBOURG SAINT DENIS 75010 Paris France;48.877194, 2.356223
LE SEMINAIRE;CHARLES NEMES;06/06/2008;06/06/2008;EXTERIEUR;AVENUE VICTORIA;75001;AVENUE VICTORIA 75001 Paris France;
LE SEMINAIRE;CHARLES NEMES;06/06/2008;06/06/2008;EXTERIEUR;PLACE DU CHATELET;75001;PLACE DU CHATELET 75001 Paris France;48.85748, 2.347244
LE SEMINAIRE;CHARLES NEMES;06/06/2008;06/06/2008;EXTERIEUR;RUE SAINT BON 75004;RUE SAINT BON 75004 Paris France;
LE SEMINAIRE;CHARLES NEMES;20/05/2008;20/05/2008;EXTERIEUR;RUE AZAIS/R CARDINAL DUBOIS;75018;RUE AZAIS/R CARDINAL DUBOIS 75018 Paris France;
LE SEMINAIRE;CHARLES NEMES;28/05/2008;28/05/2008;EXTERIEUR;RUE BICHAT 75010;RUE BICHAT 75010 Paris France;48.872186, 2.367217
KOUTOUSOV, GAMBIT RUSSE;DIMITRY TOMASHPOLSKI;06/04/2008;06/04/2008;EXTERIEUR;QUAI DE VALMY;75010;QUAI DE VALMY 75010 Paris France;48.876123, 2.364043
KOUTOUSOV, GAMBIT RUSSE;DIMITRY TOMASHPOLSKI;06/04/2008;06/04/2008;EXTERIEUR;QUAI DE JEMMAPES 75010;QUAI DE JEMMAPES 75010 Paris France;48.876681, 2.365244
KOUTOUSOV, GAMBIT RUSSE;DIMITRY TOMASHPOLSKI;06/04/2008;06/04/2008;EXTERIEUR;RUE DES VINAIGRIERS;75010;RUE DES VINAIGRIERS 75010 Paris France;48.873182, 2.360779
KOUTOUSOV, GAMBIT RUSSE;DIMITRY TOMASHPOLSKI;06/04/2008;06/04/2008;EXTERIEUR;RUE BICHAT 75010;RUE BICHAT 75010 Paris France;48.872186, 2.367217
UN SOIR AU CLUB;JEAN ACHACHE;19/05/2008;19/05/2008;EXTERIEUR;RUE DES TAILLANDIERS;75011;RUE DES TAILLANDIERS 75011 Paris France;48.854017, 2.375375
LA FILLE DU RER;ANDRE TECHINE;07/01/2008;07/01/2008;EXTERIEUR;BOULEVARD DE VAUGIRARD 75015;BOULEVARD DE VAUGIRARD 75015 Paris France;48.841455, 2.317865
LA FILLE DU RER;ANDRE TECHINE;25/05/2008;25/05/2008;EXTERIEUR;VOIE SUR BERGES;75001;VOIE SUR BERGES 75001 Paris France;
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES;CECILE TELERMAN;20/06/2008;20/06/2008;EXTERIEUR;AVENUE ELYSEE RECLUS ET R SYLVESTRE DE SACY 75007;AVENUE ELYSEE RECLUS ET R SYLVESTRE DE SACY 75007 Paris France;
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES;CECILE TELERMAN;16/06/2008;16/06/2008;EXTERIEUR;RUE D'ESTREES;75007;RUE D'ESTREES 75007 Paris France;48.851485, 2.31069
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES;CECILE TELERMAN;07/07/2008;07/08/2008;DOMAINE PUBLIC;SQUARE LOUIS XIII 75004;SQUARE LOUIS XIII 75004 Paris France;48.855418, 2.355782
JE L'AIMAIS;ZABOU BREITMAN;06/05/2008;06/05/2008;EXTERIEUR;RUE CLEMENT MAROT;75008;RUE CLEMENT MAROT 75008 Paris France;48.867696, 2.303226
KROMOV;ANDREY RAZENKOV;14/06/2008;14/06/2008;EXTERIEUR;PLACE CONSTANTIN PECQUEUR;75018;PLACE CONSTANTIN PECQUEUR 75018 Paris France;48.889244, 2.338329
TELLEMENT PROCHES;E.TOLEDANO/O.NAKACHE;07/11/2008;07/11/2008;EXTERIEUR;BOULEVARD SAINT GERMAIN;75005;BOULEVARD SAINT GERMAIN 75005 Paris France;48.851678, 2.342049
JULIE AND JULIA;NORA EPHRON;06/05/2008;06/05/2008;EXTERIEUR;PLACE SAINT GENEVIEVE;75005;PLACE SAINT GENEVIEVE 75005 Paris France;48.848622, 2.348485
JULIE AND JULIA;NORA EPHRON;06/05/2008;06/05/2008;EXTERIEUR;PLACE DE L'ABBE BASSET;75005;PLACE DE L'ABBE BASSET 75005 Paris France;
